epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.76778,1.03715,1.10448,1.36436,0.99094,1,0.995,0.74718,0.9348,1.35568,1.42199,4e-05,4e-05,4e-05
2,5.15177,1.12286,1.20353,1.39157,0.99401,1,0.995,0.7682,0.91195,1.16771,1.37492,9.99891e-05,9.99891e-05,9.99891e-05
3,6.57144,1.00622,1.19354,1.25954,0.9942,1,0.995,0.76125,0.93886,1.22111,1.39707,0.000159931,0.000159931,0.000159931
4,8.08428,0.93232,0.96572,1.20398,0.992,1,0.995,0.74069,0.93339,1.15914,1.37281,0.000219785,0.000219785,0.000219785
5,9.38503,0.783,0.90197,1.10476,0.98122,1,0.995,0.69922,1.06656,1.35715,1.53177,0.000279514,0.000279514,0.000279514
6,10.6436,0.93219,1.01937,1.28014,0.98364,1,0.995,0.64442,1.18571,1.53616,1.61765,0.000339078,0.000339078,0.000339078
7,11.8753,0.92495,0.98759,1.22121,0.9853,1,0.995,0.70864,0.99269,1.45336,1.48211,0.000398439,0.000398439,0.000398439
8,13.1379,0.8872,0.88043,1.18898,0.99161,1,0.995,0.73276,0.98767,1.30388,1.55956,0.000457557,0.000457557,0.000457557
9,14.4389,0.89754,1.00762,1.20694,0.98912,1,0.995,0.68555,1.10024,1.36236,1.69652,0.000516395,0.000516395,0.000516395
10,15.6415,0.9797,0.91245,1.30294,0.99413,1,0.995,0.70236,1.03892,1.28155,1.62019,0.000574915,0.000574915,0.000574915
11,16.8743,0.98988,0.85964,1.22766,0.99344,1,0.995,0.76393,0.9945,1.27919,1.55395,0.000633077,0.000633077,0.000633077
12,18.0846,1.0266,0.98493,1.26559,0.98822,1,0.995,0.7458,0.96401,1.23874,1.48291,0.000690845,0.000690845,0.000690845
13,19.3276,0.92134,0.9802,1.25567,0.90666,0.91667,0.975,0.69767,1.05428,1.53879,1.59009,0.000748181,0.000748181,0.000748181
14,20.5393,0.93554,0.96825,1.24695,0.8719,0.91667,0.9475,0.6655,1.11269,1.63695,1.64222,0.000805048,0.000805048,0.000805048
15,21.773,0.98022,1.05297,1.30851,1,0.90022,0.979,0.64039,1.22899,1.66274,1.70263,0.000861408,0.000861408,0.000861408
16,22.9672,0.90285,0.98618,1.24974,0.82281,0.83333,0.9312,0.5112,1.64988,1.76808,2.01081,0.000917227,0.000917227,0.000917227
17,24.2104,0.96093,1.12805,1.28521,0.68566,1,0.86461,0.4597,1.37684,1.68025,1.86668,0.000972466,0.000972466,0.000972466
18,25.446,0.96585,0.97607,1.24042,0.98266,1,0.995,0.62331,1.25067,1.34649,1.70631,0.00102709,0.00102709,0.00102709
19,26.6412,0.99172,0.98149,1.28726,0.85189,0.96019,0.95607,0.64438,1.09598,1.50795,1.55023,0.00108107,0.00108107,0.00108107
20,27.8397,0.88998,0.92548,1.21412,0.77919,0.83333,0.92578,0.63073,1.08918,1.45782,1.52198,0.00113436,0.00113436,0.00113436
21,29.0713,0.95216,0.84978,1.20975,0.94572,0.91667,0.95056,0.68711,1.11004,1.22283,1.51828,0.00118693,0.00118693,0.00118693
22,30.2756,1.06151,0.9362,1.35198,0.88895,0.91667,0.93417,0.64297,1.1453,1.31638,1.60425,0.00123876,0.00123876,0.00123876
23,31.496,1.06046,0.90237,1.31442,0.88409,0.91667,0.92845,0.61566,1.28884,1.46965,1.79613,0.00128979,0.00128979,0.00128979
24,32.7242,0.95142,0.89456,1.23624,0.91592,0.90844,0.90847,0.59886,1.32647,1.55564,1.83864,0.00134001,0.00134001,0.00134001
25,33.9455,1.04412,1.06142,1.39922,1,0.89926,0.91513,0.53412,1.3541,1.73684,1.90459,0.00138938,0.00138938,0.00138938
26,35.157,1.07788,0.90688,1.30417,0.8432,0.83333,0.88061,0.60277,1.32024,1.50874,1.75265,0.00143787,0.00143787,0.00143787
27,36.4683,1.01192,0.92854,1.25467,0.9225,0.99255,0.95038,0.63219,1.12379,1.42291,1.65022,0.00148545,0.00148545,0.00148545
28,37.7196,1.05592,1.01469,1.31029,0.97676,0.91667,0.98357,0.60597,1.20797,1.38172,1.68932,0.00153208,0.00153208,0.00153208
29,38.9685,0.90069,0.86226,1.2106,0.97676,0.91667,0.98357,0.60597,1.20797,1.38172,1.68932,0.00157775,0.00157775,0.00157775
30,40.1846,0.96394,0.84517,1.19124,1,0.99986,0.995,0.67723,1.10404,1.17013,1.66226,0.00162241,0.00162241,0.00162241
31,41.6488,0.95267,0.86596,1.22086,0.96599,1,0.995,0.70082,1.13074,1.03921,1.66932,0.00166605,0.00166605,0.00166605
32,43.6527,1.05317,0.88615,1.34902,1,0.98465,0.995,0.7229,1.06607,1.19224,1.58282,0.00170864,0.00170864,0.00170864
