epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.47696,1.23084,3.37547,1.5216,0.00179,1,0.75608,0.4357,0.92634,3.63213,1.64376,0.00016,0.00016,0.00016
2,11.0509,1.23152,2.78097,1.41627,0.00179,1,0.77201,0.34163,1.6135,3.91904,2.27633,0.000339963,0.000339963,0.000339963
3,14.0024,1.3029,2.45305,1.46311,0.07952,1,0.65488,0.27061,1.25344,3.68638,2.07104,0.000519774,0.000519774,0.000519774
4,17.0557,1.15342,2.07113,1.36379,0.00383,1,0.93188,0.49712,1.08483,3.55791,1.86667,0.000699316,0.000699316,0.000699316
5,20.338,1.25233,2.15842,1.4225,1,0.51868,0.84941,0.45595,1.17307,3.44451,1.69986,0.000878472,0.000878472,0.000878472
6,23.0558,1.25868,2.10108,1.39689,0.93643,0.70208,0.86767,0.46653,1.31146,3.35285,1.99185,0.00105713,0.00105713,0.00105713
7,25.7922,1.19644,2.01651,1.42362,0.00171,0.95238,0.08182,0.0177,2.51005,4.91026,4.10005,0.00123516,0.00123516,0.00123516
8,28.4488,1.18237,1.98545,1.31345,0.00271,0.52381,0.0098,0.00186,2.84555,5.18425,4.44945,0.00141246,0.00141246,0.00141246
9,31.173,1.20226,1.76756,1.3885,0.06415,0.55169,0.05795,0.02441,1.96533,4.84976,2.62005,0.00158891,0.00158891,0.00158891
10,33.9276,1.18752,1.74451,1.33665,0.02108,0.09524,0.03481,0.00849,2.62764,5.08794,3.67007,0.00176439,0.00176439,0.00176439
11,36.7053,1.3639,1.76007,1.46527,0.67197,0.58583,0.62642,0.35719,1.3651,3.59782,2.20145,0.0019388,0.0019388,0.0019388
12,39.4909,1.24236,1.60767,1.38676,0.21402,0.47619,0.33818,0.15729,1.38245,3.82009,2.31343,0.00197384,0.00197384,0.00197384
13,42.1131,1.08741,1.51915,1.29529,0.5184,0.33333,0.42276,0.24669,1.43717,4.2195,2.30702,0.0019689,0.0019689,0.0019689
14,44.6908,1.18313,1.5072,1.28901,0.65048,0.57143,0.51075,0.21215,1.9933,3.70212,2.78457,0.00196353,0.00196353,0.00196353
15,47.2886,1.25101,1.39415,1.35003,0.26554,0.33333,0.19931,0.07814,2.36017,3.4367,3.03657,0.00195775,0.00195775,0.00195775
16,49.916,1.19156,1.41056,1.31273,0.18393,0.52381,0.15284,0.06577,1.75062,3.52925,2.56861,0.00195155,0.00195155,0.00195155
17,52.4998,1.1785,1.38535,1.38827,0.30951,0.42857,0.35719,0.22028,1.50135,5.74327,2.06517,0.00194493,0.00194493,0.00194493
18,55.0594,1.13137,1.37575,1.34912,0.34928,0.42857,0.45734,0.2416,1.95669,6.41425,2.63696,0.00193791,0.00193791,0.00193791
19,57.6424,1.17183,1.19784,1.31249,0.27853,0.57143,0.41107,0.19474,1.87693,5.29393,2.62415,0.00193048,0.00193048,0.00193048
