epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.70856,1.15845,1.78638,1.4519,1,0.99191,0.995,0.71994,0.99488,2.34422,1.49113,2e-05,2e-05,2e-05
2,3.74241,1.10625,1.39244,1.29052,1,0.97794,0.995,0.69669,1.04721,2.34981,1.57537,5.92575e-05,5.92575e-05,5.92575e-05
3,4.66547,1.05931,1.76459,1.3545,0.98203,1,0.995,0.74019,1.08885,2.42463,1.52306,9.7525e-05,9.7525e-05,9.7525e-05
4,5.60624,1.18505,1.76692,1.53612,0.94973,1,0.995,0.73875,1.10911,2.37097,1.57991,0.000134803,0.000134803,0.000134803
5,6.54054,1.0203,1.44204,1.21054,0.94218,1,0.995,0.66363,1.08626,2.35589,1.6132,0.00017109,0.00017109,0.00017109
6,7.53443,1.06167,1.48247,1.28362,0.91936,1,0.995,0.65019,0.95641,2.48741,1.49618,0.000206388,0.000206388,0.000206388
7,8.51878,1.10345,1.5218,1.32876,0.10491,1,0.995,0.6197,0.95963,2.55631,1.53757,0.000240695,0.000240695,0.000240695
8,9.47809,1.05349,1.31665,1.19426,0.00333,1,0.995,0.58397,1.13498,2.80728,1.69589,0.000274012,0.000274012,0.000274012
9,10.4036,0.98226,1.39812,1.25871,0.00333,1,0.995,0.5685,1.16443,2.78889,1.81446,0.00030634,0.00030634,0.00030634
10,11.3392,1.03298,1.34366,1.30739,0.00333,1,0.995,0.6054,1.01619,2.66685,1.60325,0.000337677,0.000337677,0.000337677
11,12.2593,1.06624,1.31425,1.30137,0.2191,1,0.995,0.61066,1.06063,2.57177,1.60464,0.000368025,0.000368025,0.000368025
12,13.2608,1.09978,1.3121,1.20629,0.90783,1,0.995,0.55615,1.2326,2.5242,1.8602,0.000397383,0.000397383,0.000397383
13,14.2145,1.05595,1.22183,1.18646,0.90287,1,0.995,0.5548,1.25854,2.45752,1.92669,0.00042575,0.00042575,0.00042575
14,15.2145,1.2026,1.30121,1.30725,0.90229,1,0.995,0.63888,1.08078,2.41599,1.73934,0.000453128,0.000453128,0.000453128
15,16.1099,1.08133,1.50277,1.32564,0.88004,1,0.995,0.69626,1.04454,2.54729,1.75776,0.000479515,0.000479515,0.000479515
16,17.0119,1.04088,1.26665,1.40856,0.73489,1,0.995,0.68071,1.09335,2.57946,1.76436,0.000504913,0.000504913,0.000504913
17,17.9695,0.83448,1.25874,1.12685,1,0.71226,0.955,0.71397,1.12341,2.52042,1.73082,0.00052932,0.00052932,0.00052932
18,18.8645,1.01243,1.23114,1.212,1,0.94648,0.995,0.73815,1.027,2.35888,1.61671,0.000552738,0.000552738,0.000552738
19,19.7558,1.01718,1.21774,1.24528,1,0.98168,0.995,0.73294,0.96503,2.25088,1.45623,0.000575165,0.000575165,0.000575165
20,20.6753,1.40456,1.29507,1.52431,1,0.68715,0.995,0.68161,1.02827,2.43358,1.41065,0.000596603,0.000596603,0.000596603
21,21.6557,1.06874,1.32684,1.21891,1,0.89315,0.995,0.64492,1.16574,2.45336,1.4876,0.00061705,0.00061705,0.00061705
22,22.623,0.93629,1.15744,1.2295,1,0.97577,0.995,0.73301,1.10364,2.41623,1.4975,0.000636507,0.000636507,0.000636507
23,23.6296,1.02467,1.24605,1.31361,0.91984,1,0.995,0.62778,1.20945,2.37166,1.57602,0.000654975,0.000654975,0.000654975
24,24.6874,0.95754,1.18043,1.28268,1,0.77701,0.97214,0.68509,1.13105,2.57511,1.55917,0.000672452,0.000672452,0.000672452
25,25.6818,1.04953,1.33353,1.26731,1,0.93261,0.995,0.70931,1.15356,2.52707,1.52068,0.00068894,0.00068894,0.00068894
26,26.6612,1.18867,1.36831,1.4373,1,0.95923,0.995,0.68547,1.14776,2.4746,1.49959,0.000704437,0.000704437,0.000704437
27,27.6346,1.12199,1.38356,1.34412,0.97523,0.83333,0.955,0.67692,1.04215,2.35494,1.55275,0.000718945,0.000718945,0.000718945
28,28.5058,1.09705,1.3434,1.34449,0.97523,0.83333,0.955,0.67692,1.04215,2.35494,1.55275,0.000732463,0.000732463,0.000732463
29,29.4027,1.22431,1.2809,1.38275,0.99342,0.83333,0.931,0.703,1.02827,2.30808,1.4637,0.00074499,0.00074499,0.00074499
30,30.3046,1.33325,1.63834,1.65272,1,0.80964,0.92227,0.64049,1.1314,2.41604,1.61765,0.000756527,0.000756527,0.000756527
31,31.163,0.95727,1.11633,1.16511,1,0.80964,0.92227,0.64049,1.1314,2.41604,1.61765,0.000767075,0.000767075,0.000767075
32,32.0659,1.08522,1.44988,1.34954,0.79353,0.6451,0.86561,0.47165,1.60434,2.63005,2.07699,0.000776633,0.000776633,0.000776633
33,32.9631,1.00534,1.31282,1.26735,0.7624,0.54132,0.78192,0.2783,1.85644,2.82469,2.30762,0.0007852,0.0007852,0.0007852
34,33.8203,1.21659,1.24199,1.32197,0.7624,0.54132,0.78192,0.2783,1.85644,2.82469,2.30762,0.000792777,0.000792777,0.000792777
35,34.7002,1.16532,1.28754,1.26745,0.5655,0.66667,0.64003,0.14454,1.94332,2.94753,2.42909,0.000799365,0.000799365,0.000799365
36,35.603,1.14749,1.32357,1.25769,0.24878,0.16667,0.18394,0.07144,1.85181,3.19215,2.283,0.000804962,0.000804962,0.000804962
37,36.4632,0.93885,1.09961,1.20707,0.24878,0.16667,0.18394,0.07144,1.85181,3.19215,2.283,0.00080957,0.00080957,0.00080957
38,37.3521,1.01466,1.18847,1.26041,0.19811,0.5,0.18035,0.05629,2.21975,3.19117,2.54494,0.000813187,0.000813187,0.000813187
39,38.2481,1.02197,1.08929,1.26633,0.11891,0.78808,0.17702,0.04064,2.60218,3.34554,3.02541,0.000815815,0.000815815,0.000815815
